candidate_id,company_id,company_name,detection_source_type,source_name,external_id,query,title,normalized_title,published_at,collected_at,url,canonical_url,description,content_hash,validation_status,matched_event_id,rejection_reason
CND-0001,005930,삼성전자,news,www.nssc.go.kr,55734,삼성전자 DS 산업재해,삼성전자 기흥사업장 방사선피폭사건 조사결과 및 조치계획,삼성전자기흥사업장방사선피폭사건조사결과및조치계획,2024-09-26,2026-07-22T00:00:00+09:00,https://www.nssc.go.kr/nssc/notice/press.do?mode=view&articleNo=55734,https://www.nssc.go.kr/nssc/notice/press.do?articleNo=55734&mode=view,원안위 조사결과 XRF 장비 인터락 임의조작 및 과태료 1050만원 부과 발표,97b35a8fd0c1449196e5e57c919ddab8074a59a7ee562240fee08273524121e6,validated,EVT-0001,
CND-0002,005930,삼성전자,news,www.news.kr,,삼성전자 반도체 환경법 위반,삼성전자 화성사업장 유해화학물질 누출 시정명령,삼성전자화성사업장유해화학물질누출시정명령,2023-09-15,2026-07-22T00:00:00+09:00,https://www.news.kr/samsung_leak,https://www.news.kr/samsung_leak,화성사업장 화학물질 행정처분 기사,2f35406215b8b12a3d942769e16a3d0a736b4272586df4ee237d3c9db3040b10,rejected,,환경부 공식 원문과 사건 세부내용을 확인하지 못함
CND-0003,000660,SK하이닉스,news,www.moel.go.kr,19573,SK하이닉스 산업재해,"고용노동부, 반복 불소 누출 사고 관련 반도체 제조업 집중 점검 착수",고용노동부반복불소누출사고관련반도체제조업집중점검착수,2026-06-26,2026-07-22T00:00:00+09:00,https://www.moel.go.kr/news/enews/report/enewsView.do?news_seq=19573,https://www.moel.go.kr/news/enews/report/enewsView.do?news_seq=19573,SK하이닉스 등 반도체 제조업 25개소에 대한 집중 점검 착수 공식 발표,b932b5d8cc10dbf293713631e65072b1ff5f1623e2bfb5bef218b36179a659a6,validated,EVT-0003,
CND-0004,000660,SK하이닉스,news,www.news.kr,,SK하이닉스 공정거래 제재,공정위 하도급거래 관련 시정조치,공정위하도급거래관련시정조치,2023-11-21,2026-07-22T00:00:00+09:00,https://www.news.kr/skhynix_ftc,https://www.news.kr/skhynix_ftc,공정위 하도급거래 조사 결과 기사,cb86b8ff000b0f1c52d805f4fb6ffeea0a7980f44bd05afa0ba4790d055f8729,rejected,,공정위 공식 원문과 사건 세부내용을 확인하지 못함
CND-0005,000660,SK하이닉스,news,www.boannews.com,12548,SK하이닉스 정보보호 사고,SK하이닉스 협력사 보안 유출 및 산업기술 보호 점검,sk하이닉스협력사보안유출및산업기술보호점검,2024-01-12,2026-07-22T00:00:00+09:00,https://www.boannews.com/media/view.asp?idx=12548,https://www.boannews.com/media/view.asp?idx=12548,협력사 보안 사고 및 사내 개인정보/보안 규정 점검,6cbbc8fa4473863b1d296d2bc2f40b4e2e02901314d506d2aeff3fc810c830f2,rejected,,공식 출처와 일치하는 처리 사건 없음
CND-0006,005930,삼성전자,news,www.pipc.go.kr,8994,삼성전자 개인정보 보호법 위반 제재,개인정보 보호법을 위반한 삼성전자 등 2개 사업자 제재,개인정보보호법을위반한삼성전자등2개사업자제재,2023-06-28,2026-07-22T00:00:00+09:00,https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS074&mCode=C020010000&nttId=8994,https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS074&mCode=C020010000&nttId=8994,개인정보위 과징금·과태료 및 시정조치 공식 발표,b94321bd7fe4da6cb108dc40eeaded46e2abff8f1cc62d32c3eae29f93aed406,validated,EVT-0005,
CND-0007,000660,SK하이닉스,dart_disclosure,dart.fss.or.kr,20260317000635,SK하이닉스 중대재해 발생사실,SK하이닉스 사업보고서(2026.03.17) 중대재해 발생사실,sk하이닉스사업보고서20260317중대재해발생사실,2026-03-17,2026-07-25T00:00:00+09:00,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260317000635,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260317000635,"2024-05-10 발생 업무상 질병 사망 1명(사외), 사업보고서 XI.라 중대재해 발생사실에 관한 사항에 공시",b8f21be1bd3af8db13c9305a311e51d7bb39e74dd10f748fa66cb9f83d23c38a,validated,EVT-0006,
CND-0008,005930,삼성전자,news,m.ddaily.co.kr,,삼성디스플레이 아산 협착사고,"삼성디스플레이, 아산2캠퍼스서 협착 사고…협력사 직원 1명 사망",삼성디스플레이아산2캠퍼스서협착사고협력사직원1명사망,2025-12-24,2026-07-25T00:00:00+09:00,https://m.ddaily.co.kr/page/view/2025122417044476262,https://m.ddaily.co.kr/page/view/2025122417044476262,"2025-12-23 아산2캠퍼스 협력사 직원 끼임사고로 사망1+부상1, 대전지방고용노동청 천안지청 부분작업중지명령",4651c58ab583f504e4f74ad574d56c91fea9b1bfcaed5636bc03b03a39015d7b,validated,EVT-0007,
CND-0009,000660,SK하이닉스,dart_disclosure,dart.fss.or.kr,20260626801398,SK하이닉스 중대재해 발생 2026.06.26,SK하이닉스 중대재해 발생(2026.06.26),sk하이닉스중대재해발생20260626,2026-06-26,2026-07-25T00:00:00+09:00,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626801398,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626801398,"산재보험법상 업무상 질병 승인(2025-03-05) 후 요양 중 사망(2026-06-25), 고용노동부 보고일자 2026-06-26. 사업보고서(2026.03.17, SRC-0015)의 2024-05-10 건(EVT-0006)과 별개 인물",eb08aecd3b17a4794887d7dcf761d59bc2f5f1175aae243c1045f6f1d4135d89,validated,EVT-0008,
