company_id,company_name,indicator_id,category,indicator_name,raw_value,raw_unit,period,business_scope,geography,source_id,source_title,source_page,source_url,source_table_title,source_text,assurance,scope_mismatch,availability,data_confidence,risk_direction,note,target_value,target_unit,target_year,baseline_value,baseline_year,target_source_id
000660,SK하이닉스,E03,E,유해폐기물 재활용률(SASB기준),98.0,%,2021,consolidated,Korea,SRC-0004,SK hynix Sustainability Report 2024 (ENG),91,https://www.skhynix.com/sustainability/UI-FR-SA1601/,"Hazardous waste recycling rate, Domestic",,unknown,False,available,high,higher_is_better,"SASB 대표값 채택(ZWTL 인증은 not_applicable 처리) | [목표, 정성] SK2025 ZWTL Gold(99%) 인증 유지 + 재활용소재 사용률 30%(2030) - 본 행(SASB 유해폐기물 재활용률)과 지표 정의가 달라 target_value 미기재",,,,,,
000660,SK하이닉스,E03,E,유해폐기물 재활용률(SASB기준),98.1,%,2022,consolidated,Korea,SRC-0004,SK hynix Sustainability Report 2024 (ENG),91,https://www.skhynix.com/sustainability/UI-FR-SA1601/,"Hazardous waste recycling rate, Domestic",,unknown,False,available,high,higher_is_better,"SASB 대표값 채택(ZWTL 인증은 not_applicable 처리) | [목표, 정성] SK2025 ZWTL Gold(99%) 인증 유지 + 재활용소재 사용률 30%(2030) - 본 행(SASB 유해폐기물 재활용률)과 지표 정의가 달라 target_value 미기재",,,,,,
000660,SK하이닉스,E03,E,유해폐기물 재활용률(SASB기준),98.5,%,2023,consolidated,Korea,SRC-0004,SK hynix Sustainability Report 2024 (ENG),91,https://www.skhynix.com/sustainability/UI-FR-SA1601/,"Hazardous waste recycling rate, Domestic",,unknown,False,available,high,higher_is_better,"SASB 대표값 채택(ZWTL 인증은 not_applicable 처리) | [목표, 정성] SK2025 ZWTL Gold(99%) 인증 유지 + 재활용소재 사용률 30%(2030) - 본 행(SASB 유해폐기물 재활용률)과 지표 정의가 달라 target_value 미기재",,,,,,
000660,SK하이닉스,E03,E,유해폐기물 재활용률(SASB기준),98.9,%,2024,consolidated,Korea,SRC-0014,SK hynix Sustainability Report 2026 (ENG),119,https://www.skhynix.com/sustainability/UI-FR-SA1601/,"Hazardous waste recycling rate, Domestic",,unknown,False,available,high,higher_is_better,"SASB 대표값 채택(ZWTL 인증은 not_applicable 처리) | [목표, 정성] SK2025 ZWTL Gold(99%) 인증 유지 + 재활용소재 사용률 30%(2030) - 본 행(SASB 유해폐기물 재활용률)과 지표 정의가 달라 target_value 미기재",,,,,,
000660,SK하이닉스,E03,E,유해폐기물 재활용률(SASB기준),98.9,%,2025,consolidated,Korea,SRC-0014,SK hynix Sustainability Report 2026 (ENG),119,https://www.skhynix.com/sustainability/UI-FR-SA1601/,"Hazardous waste recycling rate, Domestic",,unknown,False,available,high,higher_is_better,"SASB 대표값 채택(ZWTL 인증은 not_applicable 처리) | [목표, 정성] SK2025 ZWTL Gold(99%) 인증 유지 + 재활용소재 사용률 30%(2030) - 본 행(SASB 유해폐기물 재활용률)과 지표 정의가 달라 target_value 미기재",,,,,,
005930,삼성전자,E03,E,폐기물 재활용률(DS부문),97.8,%,2022,DS,Korea,SRC-0001,Samsung Electronics Sustainability Report 2024 (ENG),26,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2024_ENG.pdf,Waste recycling rate (DS),,unknown,False,available,high,higher_is_better,"2030 목표 99.9%는 target으로 별도 관리(raw_value 아님) | [목표] SEC-2026(최신) DS부문 한국 제조사업장 폐기물 재활용률 99.9%(2030); 별도로 SEC-2025 순환자원 인정을 통한 폐기물 저감 약 9,000톤(2027, 상이 지표) 참고",99.9,%,2030,,,SRC-0012
005930,삼성전자,E03,E,폐기물 재활용률(DS부문),98.4,%,2023,DS,Korea,SRC-0001,Samsung Electronics Sustainability Report 2024 (ENG),26,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2024_ENG.pdf,Waste recycling rate (DS),,unknown,False,available,high,higher_is_better,"2030 목표 99.9%는 target으로 별도 관리(raw_value 아님) | [목표] SEC-2026(최신) DS부문 한국 제조사업장 폐기물 재활용률 99.9%(2030); 별도로 SEC-2025 순환자원 인정을 통한 폐기물 저감 약 9,000톤(2027, 상이 지표) 참고",99.9,%,2030,,,SRC-0012
005930,삼성전자,E03,E,폐기물 재활용률(DS부문),99.0,%,2024,DS,Korea,SRC-0011,Samsung Electronics Sustainability Report 2025 (ENG),21,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2025_ENG.pdf,Waste recycling rate (DS),,unknown,False,available,high,higher_is_better,"2030 목표 99.9%는 target으로 별도 관리(raw_value 아님) | [목표] SEC-2026(최신) DS부문 한국 제조사업장 폐기물 재활용률 99.9%(2030); 별도로 SEC-2025 순환자원 인정을 통한 폐기물 저감 약 9,000톤(2027, 상이 지표) 참고",99.9,%,2030,,,SRC-0012
000660,SK하이닉스,E04,E,공정가스 GHG 배출 감소율,55,%,2023,consolidated,Korea,SRC-0004,SK hynix Sustainability Report 2024 (ENG),20,https://www.skhynix.com/sustainability/UI-FR-SA1601/,Process gas GHG reduction achievement,,unknown,False,available,high,higher_is_better,PRISM 목표 대비 달성 실적치,,,,,,
000660,SK하이닉스,E04,E,공정가스 GHG 배출 감소율,55,%,2024,consolidated,Korea,SRC-0013,SK hynix Sustainability Report 2025 (ENG),15,https://www.skhynix.com/sustainability/UI-FR-SA1601/,Process gas GHG reduction achievement,,unknown,False,available,high,higher_is_better,PRISM 목표 대비 달성 실적치,,,,,,
